科室门诊,其它,信息授权,院区选择,订单付费,选择就诊时间,门诊挂号,门诊缴费,查看报告,查询费用,挂号记录,电子票据,住院服务
戒烟门诊,1. 挂号流程,确定,方桥院区,¥12 ,8月31日,互联网医院,住院充值,住院报告,价格公示,住院记录,专病管理订单,住院服务
放射影像专科,10-14周岁,同意授权,月湖院区,¥22 ,9月2日,互联网门诊,住院押金,体检报告查询,住院费用,预约记录,医保电子凭证,住院清单
放射特需门诊,①实名制挂号：请您提供准确的患者本人信息和手机号码，以便及时获得医生出诊时间变动和就诊队列信息。,请登录,本部院区,¥23 ,9月4日,今日挂号,住院押金缴费,健康档案,充值记录,候诊查询,我的发票,住院状态
放射科,2.温馨提示：,支付宝授权登录,杭州市拱墅区景莘街50号,¥35 ,周六,名医在线坐诊,住院缴费,即时查询 调阅报告,医保余额,我的挂号,电子发票,住院陪护
放射诊断科,②每张就诊卡挂号限制：每个科室当天限约一次。,我已阅读并同意挂号须知,杭州市浣纱路261号,¥150 ,周四,咨询问诊,住院预缴,处方订单,发票查询,挂号记录,电子导诊单,
放射诊断门诊,③预约成功后，请提前至少30分钟到达就诊科室候诊区等候，到分诊台出示预约号签到。如果叫号屏显示已超过您的就诊对列号，可能医生已叫过号，请到分诊台咨询。,我知道了,浙大二院(博奥院区),去支付,周一,图文咨询,其他预约缴费,我的处方,押金记录,诊疗记录,电子票夹,
放射诊疗科,④ 只能挂号最近七天内的日期,同意规则并继续,浙大二院(城东院区),确认支付,周二,在线复诊,出院结算,我的报告,缴存明细,问诊订单,电子票据,
放疗科,English,授权登录,浙大二院(滨江院区),结算,周三,当日挂号,医保自费在线付,我的报告单,缴费记录,预约挂号记录,,
整形外科,Language/语言中文English,支付宝一键登录,浙大二院(眼科院区),确认预约,周五,快速问诊,就医缴费,报告,账单记录,预约记录,,
整形美容,按科室查找,我已阅读并同意,浙大二院(解放路院区),,预约未来28天号源,我的预约,就诊卡充值,报告查询,,,,
文化宫路妇产科,按医师查找,我已阅读并同意预约挂号须知,浙江省杭州市上城区源聚路300号,,选择日期,挂号,就诊卡退款,查报告单,,,,
斜视与儿童眼科一门诊,按院区查找,预约挂号须知,浙江省杭州市上城区西湖大道1号（外海西湖国贸大厦裙楼),,09:30,挂号签到,我的缴费,查看报告,,,,
斜视与儿童眼科二门诊,按症状查找,,浙江省杭州市上城区解放路88号,,16:00,掌上医院,押金充值,检查报告,,,,
新冠核酸检测,绑卡记录,,浙江省杭州市江干区丁兰街道环丁路1630号,,10月11日,排队叫号,押金缴纳,检查报告查询,,,,
普外科,便民服务,,浙江省杭州市滨江区江虹路1511号,,挂今天的号,检查预约,核酸充值,检验报告,,,,
更年期门诊,病案复印,,浙江省杭州市萧山经济开发区启迪路456号,,预约未来28天号源,线上提前预约,病理缴费,睡眠监测报告,,,,
李华伟-耳鼻咽喉科-名医到嘉团队,不要迟到。爽约三次列入黑名单,,浙江省杭州市西湖区体育场路453号,,,线上特需门诊,缴费,线上查报告,,,,
核酸抗原预约,参保状态,,地址：杭州市下城区竹竿巷57号,,,线上门诊,缴费不用等,量表评测报告,,,,
核酸检测门诊,常见问题解答,,地址：杭州市滨江区滨盛路3333号,,,网络复诊,退款申请,门诊报告,,,,
母乳喂养咨询门诊,出示预约码,,兴宁院区,,,诊前预约,门诊充值,门诊报告单,,,,
治未病科门诊,出诊信息,,东部院区,,,门诊挂号,门诊结算,,,,,
泌尿外科,处置,,鄞州院区,,,门诊预约,门诊缴费,,,,,
泌尿系统影像,档案补录,,北院,,,随时随地挂当日号,非医疗缴费,,,,,
泪道门诊,导管维护咨询,,北院院区,,,预约中心,,,,,,
消化内科,导诊,,华家池（口腔医学中心）总院,,,预约体检,,,,,,
炎症性肠病,电话咨询,,口腔医学中心）总院,,,预约取号,,,,,,
父母体检,电子就诊卡,,南院院区,,,预约挂号,,,,,,
狼疮性肾炎,电子陪护证,,外滩院区,,,预约检查,,,,,,
生殖免疫科,电子医保,,涧西区,,,,,,,,,
生殖医学中心,服务,,江北,,,,,,,,,
生殖医学科,复诊配药,,地址：杭州市下城区竹竿巷57号,,,,,,,,,
生殖医学门诊,副主任医师,,西工区,,,,,,,,,
生殖整复,感谢您使用线上就医方式来我院就诊，为保证您能顺利完成预约挂号，请认真阅读挂号规则。,,,,,,,,,,,
生殖遗传科,各位病友：,,,,,,,,,,,
生殖门诊,关注的医生,,,,,,,,,,,
生长发育专科门诊,候诊大厅,,,,,,,,,,,
甲状腺乳腺,护理门诊,,,,,,,,,,,
男士体检,家庭成员,,,,,,,,,,,
男科门诊,建档,,,,,,,,,,,
疼痛医学科,建卡绑卡,,,,,,,,,,,
疼痛科,就医指南,,,,,,,,,,,
疼痛科门诊,就医助手,,,,,,,,,,,
疼痛门诊,就诊当天取号流程：“门诊分诊台→出示预约码→挂号签到”,,,,,,,,,,,
疼痛麻醉门诊,就诊进度,,,,,,,,,,,
病理切片诊断(滨江),就诊卡,,,,,,,,,,,
病理科,就诊签到,,,,,,,,,,,
痛风性关节炎,就诊人,,,,,,,,,,,
癫痫生酮门诊(滨江),就诊人管理,,,,,,,,,,,
癫痫门诊,就诊须知,,,,,,,,,,,
白内障一门诊,就诊业务,,,,,,,,,,,
白内障三门诊,就诊指南,,,,,,,,,,,
白内障二门诊,科室介绍,,,,,,,,,,,
白塞病,快捷方便 一键搞定,,,,,,,,,,,
皮肌炎,来院导航,,,,,,,,,,,
皮肤性病科,联系客服,,,,,,,,,,,
皮肤科,楼层导航,,,,,,,,,,,
皮肤科男科,满意度问卷,,,,,,,,,,,
皮肤科门诊,每日清单,,,,,,,,,,,
盆底超声,门特开药门诊,,,,,,,,,,,
眼底一门诊,门特续方,,,,,,,,,,,
眼底三门诊,门诊WIFI,,,,,,,,,,,
眼底二门诊,门诊分诊台,,,,,,,,,,,
眼整形门诊,门诊服务,,,,,,,,,,,
眼眶病泪道门诊,门诊清单,,,,,,,,,,,
眼科,门诊医保转外就诊流程,,,,,,,,,,,
眼科门诊,免排队 快速结算,,,,,,,,,,,
睡眠医学中心,名医,,,,,,,,,,,
神经内外科,名医馆,,,,,,,,,,,
神经内科,您前面还有1人,,,,,,,,,,,
神经内科一门诊,拍照续方,,,,,,,,,,,
神经内科三门诊,普通号,,,,,,,,,,,
神经内科二门诊,其他,,,,,,,,,,,
神经外科,其他门诊,,,,,,,,,,,
私密整形专科门诊,其它,,,,,,,,,,,
精神卫生科(中心),秦际德,,,,,,,,,,,
精神科,请按时履约，不要迟到。爽约三次列入黑名单。请到分诊台办理黑名单解锁。,,,,,,,,,,,
系统性红斑狼疮,请输入详细地址,,,,,,,,,,,
系统性血管炎,请选择民族,,,,,,,,,,,
老年医学科,请选择所在地区,,,,,,,,,,,
耳鼻咽喉头颈(滨江),请选择职业,,,,,,,,,,,
耳鼻咽喉头颈外科,取号排队提醒,,,,,,,,,,,
耳鼻咽喉科,取消,,,,,,,,,,,
耳鼻咽喉科门诊,取消挂号,,,,,,,,,,,
耳鼻喉科,全部,,,,,,,,,,,
肌骨超声,全部科室,,,,,,,,,,,
肛肠外科,入院办理,,,,,,,,,,,
肛肠外科疝微创,瑞金地图,,,,,,,,,,,
肛肠科(中西医结合),尚晓峰,,,,,,,,,,,
肝炎门诊,身份码,,,,,,,,,,,
肝病门诊,剩余,,,,,,,,,,,
肩膝关节病,实名绑定,,,,,,,,,,,
肩膝痛,首页,,,,,,,,,,,
肺部结节诊治联合门诊,随时随地咨询,,,,,,,,,,,
肺高压与雷诺症,孙继兰,,,,,,,,,,,
肾内科,体检服务,,,,,,,,,,,
肿瘤放化疗科-上海市胸科医院专家,添加,,,,,,,,,,,
肿瘤科,停车缴费,,,,,,,,,,,
肿瘤科门诊,投诉反馈,,,,,,,,,,,
胃结直肠肿瘤、肛门、疝,推荐,,,,,,,,,,,
胃肠外科,我的,,,,,,,,,,,
胃肠肿瘤、肛肠、疝气,我的地址,,,,,,,,,,,
胃肠肿瘤疝痔疮,我的医生,,,,,,,,,,,
胆结石、疝,西工区,,,,,,,,,,,
胆胰、疝微创治疗,消息,,,,,,,,,,,
胆胰外科,续方开药,,,,,,,,,,,
胆胰联合门诊,选择就诊人,,,,,,,,,,,
胆胰腹壁疝,选择就诊日期,,,,,,,,,,,
胆道结石微创,选择科室、医生,,,,,,,,,,,
胆道闭锁门诊(滨江),闫哲,,,,,,,,,,,
胎儿医学科,药品助手,,,,,,,,,,,
脊柱关节炎,一日清单,,,,,,,,,,,
脊柱外科,伊滨区,,,,,,,,,,,
脱敏治疗,医保患者门慢、门特申请,,,,,,,,,,,
膝关节病及运动损伤,医保业务,,,,,,,,,,,
自身免疫病,医技预约,,,,,,,,,,,
血液科,医生介绍,,,,,,,,,,,
血管炎与狼疮,医院简介,,,,,,,,,,,
视光学部门诊,医院介绍,,,,,,,,,,,
计划生育科,医院信息,,,,,,,,,,,
超声介入,医院指南,,,,,,,,,,,
超声医学科,异地医保住院结算流程,,,,,,,,,,,
超声男科,预约挂号流程：“掌上医院→预约挂号→选择就诊日期→选择科室、医生→选择就诊人→确认预约”,,,,,,,,,,,
"超声诊断(心脏,腹部,浅表)(滨江)",院内导航,,,,,,,,,,,
超声诊断(腹部浅表)(滨江),约满,,,,,,,,,,,
超声诊断科,云陪诊,,,,,,,,,,,
超声造影,在线客服,,,,,,,,,,,
辅助生殖医学科(含男科),在线续方,,,,,,,,,,,
内分泌代谢科,暂不授权,,,,,,,,,,,
内分泌科-上海华山专家,诊后管理,,,,,,,,,,,
内科,诊疗中心,,,,,,,,,,,
内科类……,诊前录入,,,,,,,,,,,
内科门诊,诊前资料录入,,,,,,,,,,,
创伤骨科,诊中服务,,,,,,,,,,,
医学影像科,知名专家,,,,,,,,,,,
医学美容科,智能导诊,,,,,,,,,,,
医技,中文,,,,,,,,,,,
医疗技术管理,朱永军,,,,,,,,,,,
医美中心,主任医师,,,,,,,,,,,
医融体,主治医师,,,,,,,,,,,
南伤口护理,著名专家,,,,,,,,,,,
发热门诊,著名专家门诊,,,,,,,,,,,
变态反应科,专病管理,,,,,,,,,,,
变态（过敏）反应科,专病号,,,,,,,,,,,
变态（过敏）反应科/呼吸科,专家号,,,,,,,,,,,
变态（过敏）反应门诊,专家团队挂号,,,,,,,,,,,
口腔科,专注服务 优化体验,,,,,,,,,,,
叶招明-骨科骨病与肿瘤科-名医到嘉团队,自助建档,,,,,,,,,,,
叶红英-内分泌科-名医到嘉团队,,,,,,,,,,,,
呼吸与危重症医学科,,,,,,,,,,,,
呼吸过敏,,,,,,,,,,,,
咳嗽及哮喘（过敏科）,,,,,,,,,,,,
垂体疾病门诊(滨江),,,,,,,,,,,,
外科,,,,,,,,,,,,
外科类……,,,,,,,,,,,,
外科门诊,,,,,,,,,,,,
多学科MDT门诊,,,,,,,,,,,,
多学科综合门诊/疑难疾病门诊,,,,,,,,,,,,
多学科联合门诊,,,,,,,,,,,,
多学科诊疗,,,,,,,,,,,,
多学科诊疗门诊,,,,,,,,,,,,
多学科门诊,,,,,,,,,,,,
女士体检,,,,,,,,,,,,
女子肛肠门诊,,,,,,,,,,,,
妇产科,,,,,,,,,,,,
妇产科超声,,,,,,,,,,,,
妇产科门诊,,,,,,,,,,,,
妇儿科,,,,,,,,,,,,
妇女保健科,,,,,,,,,,,,
妇科,,,,,,,,,,,,
妇科肿瘤,,,,,,,,,,,,
妇科肿瘤联合门诊,,,,,,,,,,,,
妇科门诊,,,,,,,,,,,,
孕产期疼痛专科,,,,,,,,,,,,
宫颈科,,,,,,,,,,,,
少儿妇科门诊,,,,,,,,,,,,
川崎病门诊(滨江),,,,,,,,,,,,
幽门螺旋杆菌专病门诊,,,,,,,,,,,,
康复医学科,,,,,,,,,,,,
影像科,,,,,,,,,,,,
心脏大血管外科,,,,,,,,,,,,
心脏起搏器程控随访门诊,,,,,,,,,,,,
心脏超声造影门诊,,,,,,,,,,,,
心血管中心,,,,,,,,,,,,
心血管内科,,,,,,,,,,,,
心血管内科一门诊,,,,,,,,,,,,
急诊科,,,,,,,,,,,,
感染性疾病科,,,,,,,,,,,,
感染病科,,,,,,,,,,,,
感染科,,,,,,,,,,,,
傅立军-儿科心血管科-名医到嘉团队,,,,,,,,,,,,
(牙齿不齐、地包天、龅牙、咬合不良),,,,,,,,,,,,
1-3F门诊B超室,,,,,,,,,,,,
SLE,,,,,,,,,,,,
不孕不育门诊,,,,,,,,,,,,
中医特色专病云门诊,,,,,,,,,,,,
中医科,,,,,,,,,,,,
中医科门诊,,,,,,,,,,,,
中蒙医康复科,,,,,,,,,,,,
中西医结合科,,,,,,,,,,,,
乳腺及甲状腺肿瘤联合门诊,,,,,,,,,,,,
乳腺影像,,,,,,,,,,,,
乳腺科,,,,,,,,,,,,
五官,,,,,,,,,,,,
五官科,,,,,,,,,,,,
产后康复,,,,,,,,,,,,
产科,,,,,,,,,,,,
产科围保门诊,,,,,,,,,,,,
产科门诊,,,,,,,,,,,,
传染科,,,,,,,,,,,,
低血糖门诊(滨江),,,,,,,,,,,,
专科门诊,,,,,,,,,,,,
马昕-骨科足踝科-名医到嘉团队,,,,,,,,,,,,
骨关节外科,,,,,,,,,,,,
骨关节疾病,,,,,,,,,,,,
骨科,,,,,,,,,,,,
骨科足踝-上海华山专家,,,,,,,,,,,,
骨科门诊,,,,,,,,,,,,
骨质疏松症,,,,,,,,,,,,
高危儿门诊、儿童康复门诊,,,,,,,,,,,,
高压氧门诊,,,,,,,,,,,,
高血压门诊,,,,,,,,,,,,
麻醉科,,,,,,,,,,,,
鼾症门诊,,,,,,,,,,,,
（儿童补牙、全麻补牙、早期矫治、拔牙）,,,,,,,,,,,,
（牙周炎、牙龈炎、种植体周围炎、洗牙）,,,,,,,,,,,,
（补牙、根管治疗、根尖手术、牙髓再生）,,,,,,,,,,,,
（补牙、根管治疗、镶牙、种植修复）,,,,,,,,,,,,
（镶牙、贴面、嵌体、种植修复）,,,,,,,,,,,,
（黏膜、关节、肿瘤、面痛、涎腺、综合）,,,,,,,,,,,,
体检,,,,,,,,,,,,
便秘门诊(滨江),,,,,,,,,,,,
健康管理科,,,,,,,,,,,,
儿科,,,,,,,,,,,,
儿科门诊,,,,,,,,,,,,
儿童临床心理门诊,,,,,,,,,,,,
儿童保健科,,,,,,,,,,,,
儿童保健门诊,,,,,,,,,,,,
儿童哮喘联合门诊,,,,,,,,,,,,
儿童学习困难门诊,,,,,,,,,,,,
儿童气道管理及早期矫正联合门诊,,,,,,,,,,,,
儿童睡眠咨询门诊,,,,,,,,,,,,
儿童肝移植门诊(滨江),,,,,,,,,,,,
儿童认知睡眠门诊,,,,,,,,,,,,
儿童青少年心理健康联合门诊,,,,,,,,,,,,
儿童青少年心理咨询门诊,,,,,,,,,,,,
免疫治疗,,,,,,,,,,,,
免疫相关妊娠,,,,,,,,,,,,
入职体检,,,,,,,,,,,,
全科,,,,,,,,,,,,
全科医学科,,,,,,,,,,,,
全科医疗科,,,,,,,,,,,,
关节炎门诊,,,,,,,,,,,,
造口护理门诊,,,,,,,,,,,,
遗传与产前诊断中心,,,,,,,,,,,,
针伤推拿科,,,,,,,,,,,,
针推,,,,,,,,,,,,
针灸科,,,,,,,,,,,,
门诊骨科,,,,,,,,,,,,
陈世益-骨科运动医学科-名医到嘉团队,,,,,,,,,,,,
陈盛-风湿免疫科-名医到嘉上海仁济团队,,,,,,,,,,,,
青光眼门诊,,,,,,,,,,,,
青少年心理咨询,,,,,,,,,,,,
靶向与脱敏治疗,,,,,,,,,,,,
颈腰疼痛中心门诊,,,,,,,,,,,,
风湿免疫科,,,,,,,,,,,,
风湿免疫科门诊,,,,,,,,,,,,
风湿康复,,,,,,,,,,,,
风湿性疾病,,,,,,,,,,,,
风湿病科,,,,,,,,,,,,
抗凝门诊,,,,,,,,,,,,